a	AW1
ainambi	AW1 JH N AW1 M P IY1
ainambihafi	AW1 JH N AW1 M P IY1 HH AW1 F IY1
ainambihaqi	AW1 JH N AW1 M P IY1 HH AW1 K IY1
ainambihe	AW1 JH N AW1 M P IY1 HH AH1
ainambini	AW1 JH N AW1 M P IY1 N IY1
ainame	AW1 JH N AW1 M AH1
ainaqa	AW1 JH N AW1 CH AW1
ainaqi	AW1 JH N AW1 K IY1
ainara	AW1 JH N AW1 R AW1
ainarahv	AW1 JH N AW1 R AW1 HH AO1
ainarangge	AW1 JH N AW1 R AW1 NG NG AH1
ainasi	AW1 JH N AW1 S IY1
ainei	AW1 JH N AH1 JH
ainhai	AW1 JH N HH AW1 JH
aini	AW1 JH N IY1
ainiya	AW1 JH N JH AW1
aino	AW1 JH N OW1
ainqi	AW1 JH N K IY1
aintamu	AW1 JH N T AW1 M UW1
ainu	AW1 JH N UW1
ainugan	AW1 JH N UW1 K AW1 N
ainuni	AW1 JH N UW1 N IY1
aiqi	AW1 JH K IY1
aira	AW1 JH R AW1
airafi	AW1 JH R AW1 F IY1
airahabi	AW1 JH R AW1 HH AW1 P IY1
aire	AW1 JH R AH1
airke	AW1 JH R K AH1
airki	AW1 JH R K IY1
airu	AW1 JH R UW1
aisa	AW1 JH S AW1
aisai	AW1 JH S AW1 JH
aisalame	AW1 JH S AW1 L AW1 M AH1
aisan	AW1 JH S AW1 N
aise	AW1 JH S AH1
aisehe	AW1 JH S AH1 HH AH1
aisembi	AW1 JH S AH1 M P IY1
aiseme	AW1 JH S AH1 M AH1
aisere	AW1 JH S AH1 R AH1
aiserengge	AW1 JH S AH1 R AH1 NG NG AH1
aiseu	AW1 JH S AH1 W
aisha	AW1 JH S HH AW1
aisi	AW1 JH S IY1
aisihan	AW1 JH S IY1 HH AW1 N
aisila	AW1 JH S IY1 L AW1
aisilabu	AW1 JH S IY1 L AW1 P UW1
aisilabu'	AW1 JH S IY1 L AW1 P UW1
aisilabufi	AW1 JH S IY1 L AW1 P UW1 F IY1
aisilabuha	AW1 JH S IY1 L AW1 P UW1 HH AW1
aisilabuhade	AW1 JH S IY1 L AW1 P UW1 HH AW1 T AH1
aisilabuhangge	AW1 JH S IY1 L AW1 P UW1 HH AW1 NG NG AH1
aisilabuki	AW1 JH S IY1 L AW1 P UW1 K IY1
aisilabukv	AW1 JH S IY1 L AW1 P UW1 K AO1
aisilabumbi	AW1 JH S IY1 L AW1 P UW1 M P IY1
aisilabume	AW1 JH S IY1 L AW1 P UW1 M AH1
aisilabuqi	AW1 JH S IY1 L AW1 P UW1 K IY1
aisilabuqibe	AW1 JH S IY1 L AW1 P UW1 K IY1 P AH1
aisilaburakv	AW1 JH S IY1 L AW1 P UW1 R AW1 K AO1
aisilabure	AW1 JH S IY1 L AW1 P UW1 R AH1
aisilaburengge	AW1 JH S IY1 L AW1 P UW1 R AH1 NG NG AH1
aisilafi	AW1 JH S IY1 L AW1 F IY1
aisilaha	AW1 JH S IY1 L AW1 HH AW1
aisilahabi	AW1 JH S IY1 L AW1 HH AW1 P IY1
aisilahade	AW1 JH S IY1 L AW1 HH AW1 T AH1
aisilahakv	AW1 JH S IY1 L AW1 HH AW1 K AO1
aisilahangge	AW1 JH S IY1 L AW1 HH AW1 NG NG AH1
aisilaki	AW1 JH S IY1 L AW1 K IY1
aisilakini	AW1 JH S IY1 L AW1 K IY1 N IY1
aisilakv	AW1 JH S IY1 L AW1 K AO1
aisilambi	AW1 JH S IY1 L AW1 M P IY1
aisilambidere	AW1 JH S IY1 L AW1 M P IY1 T AH1 R AH1
aisilambihe	AW1 JH S IY1 L AW1 M P IY1 HH AH1
aisilambikai	AW1 JH S IY1 L AW1 M P IY1 K AW1 JH
aisilambini	AW1 JH S IY1 L AW1 M P IY1 N IY1
aisilambiu	AW1 JH S IY1 L AW1 M P IY1 W
aisilame	AW1 JH S IY1 L AW1 M AH1
aisilan	AW1 JH S IY1 L AW1 N
aisilana	AW1 JH S IY1 L AW1 N AW1
aisilandumbi	AW1 JH S IY1 L AW1 N T UW1 M P IY1
aisilandure	AW1 JH S IY1 L AW1 N T UW1 R AH1
aisilangga	AW1 JH S IY1 L AW1 NG N AW1
aisilanju	AW1 JH S IY1 L AW1 N JH UW1
aisilanki	AW1 JH S IY1 L AW1 N K IY1
aisilanumbi	AW1 JH S IY1 L AW1 N UW1 M P IY1
aisilaqi	AW1 JH S IY1 L AW1 K IY1
aisilaqibe	AW1 JH S IY1 L AW1 K IY1 P AH1
aisilara	AW1 JH S IY1 L AW1 R AW1
aisilarakv	AW1 JH S IY1 L AW1 R AW1 K AO1
aisilarakvbe	AW1 JH S IY1 L AW1 R AW1 K AO1 P AH1
aisilarakvngge	AW1 JH S IY1 L AW1 R AW1 K AO1 NG NG AH1
aisilarangge	AW1 JH S IY1 L AW1 R AW1 NG NG AH1
aisilatambi	AW1 JH S IY1 L AW1 T AW1 M P IY1
aisilmen	AW1 JH S IY1 L M AH1 N
aisimbi	AW1 JH S IY1 M P IY1
aisime	AW1 JH S IY1 M AH1
aisimu	AW1 JH S IY1 M UW1
aisin	AW1 JH S IY1 N
aisingga	AW1 JH S IY1 NG N AW1
aisire	AW1 JH S IY1 R AH1
aisirengge	AW1 JH S IY1 R AH1 NG NG AH1
aisirgan	AW1 JH S IY1 R K AW1 N
aisiri	AW1 JH S IY1 R IY1
aisisin	AW1 JH S IY1 S IY1 N
aisn	AW1 JH S N
aisrgan	AW1 JH S R K AW1 N
aisunggv	AW1 JH S UW1 NG N AO1
aisuri	AW1 JH S UW1 R IY1
aita	AW1 JH T AW1
aitai	AW1 JH T AW1 JH
aitainggi	AW1 JH T AW1 JH NG NG IY1
aitanggi	AW1 JH T AW1 NG NG IY1
aitarame	AW1 JH T AW1 R AW1 M AH1
aitareme	AW1 JH T AW1 R AH1 M AH1
aitebume	AW1 JH T AH1 P UW1 M AH1
aitereburahv	AW1 JH T AH1 R AH1 P UW1 R AW1 HH AO1
aiterefi	AW1 JH T AH1 R AH1 F IY1
aiting	AW1 JH T IY1 NG
aitobu	AW1 JH T OW1 P UW1
aitubu	AW1 JH T UW1 P UW1
aitubufi	AW1 JH T UW1 P UW1 F IY1
aitubuha	AW1 JH T UW1 P UW1 HH AW1
aitubuhabi	AW1 JH T UW1 P UW1 HH AW1 P IY1
aitubuhangge	AW1 JH T UW1 P UW1 HH AW1 NG NG AH1
aitubuki	AW1 JH T UW1 P UW1 K IY1
aitubukini	AW1 JH T UW1 P UW1 K IY1 N IY1
aitubumbi	AW1 JH T UW1 P UW1 M P IY1
aitubumbime	AW1 JH T UW1 P UW1 M P IY1 M AH1
aitubume	AW1 JH T UW1 P UW1 M AH1
aitubungga	AW1 JH T UW1 P UW1 NG N AW1
aitubuqi	AW1 JH T UW1 P UW1 K IY1
aitubuqibe	AW1 JH T UW1 P UW1 K IY1 P AH1
aituburakv	AW1 JH T UW1 P UW1 R AW1 K AO1
aitubure	AW1 JH T UW1 P UW1 R AH1
aituburengge	AW1 JH T UW1 P UW1 R AH1 NG NG AH1
aitufi	AW1 JH T UW1 F IY1
aitugure	AW1 JH T UW1 K UW1 R AH1
aituha	AW1 JH T UW1 HH AW1
aituhabi	AW1 JH T UW1 HH AW1 P IY1
aitumbi	AW1 JH T UW1 M P IY1
aitumbime	AW1 JH T UW1 M P IY1 M AH1
aitungga	AW1 JH T UW1 NG N AW1
aituqi	AW1 JH T UW1 K IY1
aiturakv	AW1 JH T UW1 R AW1 K AO1
aiture	AW1 JH T UW1 R AH1
aiturebe	AW1 JH T UW1 R AH1 P AH1
aiturelame	AW1 JH T UW1 R AH1 L AW1 M AH1
aituri	AW1 JH T UW1 R IY1
aitutobure	AW1 JH T UW1 T OW1 P UW1 R AH1
aituwan	AW1 JH T UW1 AW1 N
aixxaha	AW1 JH SH SH AW1 HH AW1
aixxarakv	AW1 JH SH SH AW1 R AW1 K AO1
aiyongga	AW1 JH OW1 NG N AW1
aizung	AW1 JH D UW1 NG
aja	AW1 JH AW1
ajabufi	AW1 JH AW1 P UW1 F IY1
ajabuhabi	AW1 JH AW1 P UW1 HH AW1 P IY1
ajabuki	AW1 JH AW1 P UW1 K IY1
ajabumbi	AW1 JH AW1 P UW1 M P IY1
ajabume	AW1 JH AW1 P UW1 M AH1
ajabure	AW1 JH AW1 P UW1 R AH1
ajafi	AW1 JH AW1 F IY1
ajaha	AW1 JH AW1 HH AW1
ajahabi	AW1 JH AW1 HH AW1 P IY1
ajai	AW1 JH AW1 JH
ajaja	AW1 JH AW1 JH AW1
ajambi	AW1 JH AW1 M P IY1
ajame	AW1 JH AW1 M AH1
ajanjifi	AW1 JH AW1 N JH IY1 F IY1
ajara	AW1 JH AW1 R AW1
ajargan	AW1 JH AW1 R K AW1 N
ajen	AW1 JH AH1 N
aji	AW1 JH IY1
ajibai	AW1 JH IY1 P AW1 JH
ajibe	AW1 JH IY1 P AH1
ajibuhangge	AW1 JH IY1 P UW1 HH AW1 NG NG AH1
ajida	AW1 JH IY1 T AW1
ajiga	AW1 JH IY1 K AW1
ajigalafi	AW1 JH IY1 K AW1 L AW1 F IY1
ajigan	AW1 JH IY1 K AW1 N
ajiganqi	AW1 JH IY1 K AW1 N K IY1
ajigaqi	AW1 JH IY1 K AW1 K IY1
ajige	AW1 JH IY1 K AH1
ajigen	AW1 JH IY1 K AH1 N
ajigenikan	AW1 JH IY1 K AH1 N IY1 K AW1 N
ajigenqi	AW1 JH IY1 K AH1 N K IY1
ajigeqi	AW1 JH IY1 K AH1 K IY1
ajigesi	AW1 JH IY1 K AH1 S IY1
ajigi	AW1 JH IY1 K IY1
ajihan	AW1 JH IY1 HH AW1 N
ajihe	AW1 JH IY1 HH AH1
ajike	AW1 JH IY1 K AH1
ajilabumbi	AW1 JH IY1 L AW1 P UW1 M P IY1
ajilafi	AW1 JH IY1 L AW1 F IY1
ajilaha	AW1 JH IY1 L AW1 HH AW1
ajilambi	AW1 JH IY1 L AW1 M P IY1
ajilame	AW1 JH IY1 L AW1 M AH1
ajilara	AW1 JH IY1 L AW1 R AW1
ajime	AW1 JH IY1 M AH1
ajin	AW1 JH IY1 N
ajinai	AW1 JH IY1 N AW1 JH
ajinda	AW1 JH IY1 N T AW1
ajinggiyame	AW1 JH IY1 NG NG JH AW1 M AH1
ajinta	AW1 JH IY1 N T AW1
ajintu	AW1 JH IY1 N T UW1
ajiraga	AW1 JH IY1 R AW1 K AW1
ajirgalambi	AW1 JH IY1 R K AW1 L AW1 M P IY1
ajirgan	AW1 JH IY1 R K AW1 N
ajirhalambi	AW1 JH IY1 R HH AW1 L AW1 M P IY1
ajirhan	AW1 JH IY1 R HH AW1 N
ajirka	AW1 JH IY1 R K AW1
ajishvn	AW1 JH IY1 S HH AO1 N
ajisi	AW1 JH IY1 S IY1
ajitu	AW1 JH IY1 T UW1
ajmbi	AW1 JH M P IY1
ajuhv	AW1 JH UW1 HH AO1
ak	AW1 K
aka	AW1 K AW1
akabufi	AW1 K AW1 P UW1 F IY1
akabuha	AW1 K AW1 P UW1 HH AW1
akabuhakv	AW1 K AW1 P UW1 HH AW1 K AO1
akabuki	AW1 K AW1 P UW1 K IY1
akabumbi	AW1 K AW1 P UW1 M P IY1
akabume	AW1 K AW1 P UW1 M AH1
akabuqi	AW1 K AW1 P UW1 K IY1
akabure	AW1 K AW1 P UW1 R AH1
akaburengge	AW1 K AW1 P UW1 R AH1 NG NG AH1
akadara	AW1 K AW1 T AW1 R AW1
akafi	AW1 K AW1 F IY1
akaga	AW1 K AW1 K AW1
akaha	AW1 K AW1 HH AW1
akahabi	AW1 K AW1 HH AW1 P IY1
akahai	AW1 K AW1 HH AW1 JH
akahakvn	AW1 K AW1 HH AW1 K AO1 N
akajambi	AW1 K AW1 JH AW1 M P IY1
akakini	AW1 K AW1 K IY1 N IY1
akambi	AW1 K AW1 M P IY1
akambime	AW1 K AW1 M P IY1 M AH1
akame	AW1 K AW1 M AH1
akan	AW1 K AW1 N
akanama	AW1 K AW1 N AW1 M AW1
akanambi	AW1 K AW1 N AW1 M P IY1
akaqi	AW1 K AW1 K IY1
akaquka	AW1 K AW1 CH UW1 K AW1
akaqun	AW1 K AW1 CH UW1 N
akara	AW1 K AW1 R AW1
akarakvngge	AW1 K AW1 R AW1 K AO1 NG NG AH1
akarangge	AW1 K AW1 R AW1 NG NG AH1
akasaka	AW1 K AW1 S AW1 K AW1
akatala	AW1 K AW1 T AW1 L AW1
akba	AW1 K P AW1
akbai	AW1 K P AW1 JH
akbuqi	AW1 K P UW1 K IY1
akburakv	AW1 K P UW1 R AW1 K AO1
akdabu	AW1 K T AW1 P UW1
akdabumbi	AW1 K T AW1 P UW1 M P IY1
akdabume	AW1 K T AW1 P UW1 M AH1
akdabuqi	AW1 K T AW1 P UW1 K IY1
akdadurakv	AW1 K T AW1 T UW1 R AW1 K AO1
akdafi	AW1 K T AW1 F IY1
akdaha	AW1 K T AW1 HH AW1
akdahabi	AW1 K T AW1 HH AW1 P IY1
akdahabiuttu	AW1 K T AW1 HH AW1 P IY1 T T UW1
akdahakv	AW1 K T AW1 HH AW1 K AO1
akdahakvbi	AW1 K T AW1 HH AW1 K AO1 P IY1
akdahangge	AW1 K T AW1 HH AW1 NG NG AH1
akdahau	AW1 K T AW1 HH AW1 W
akdaka	AW1 K T AW1 K AW1
akdakini	AW1 K T AW1 K IY1 N IY1
akdalame	AW1 K T AW1 L AW1 M AH1
akdalara	AW1 K T AW1 L AW1 R AW1
akdambi	AW1 K T AW1 M P IY1
akdambihe	AW1 K T AW1 M P IY1 HH AH1
akdambikai	AW1 K T AW1 M P IY1 K AW1 JH
akdambini	AW1 K T AW1 M P IY1 N IY1
akdame	AW1 K T AW1 M AH1
akdan	AW1 K T AW1 N
akdandumbi	AW1 K T AW1 N T UW1 M P IY1
akdandurakv	AW1 K T AW1 N T UW1 R AW1 K AO1
akdaqi	AW1 K T AW1 K IY1
akdaqibe	AW1 K T AW1 K IY1 P AH1
akdaquka	AW1 K T AW1 CH UW1 K AW1
akdaqun	AW1 K T AW1 CH UW1 N
akdara	AW1 K T AW1 R AW1
akdarakv	AW1 K T AW1 R AW1 K AO1
akdarakvngge	AW1 K T AW1 R AW1 K AO1 NG NG AH1
akdarakvqi	AW1 K T AW1 R AW1 K AO1 K IY1
akdarangge	AW1 K T AW1 R AW1 NG NG AH1
akdarkv	AW1 K T AW1 R K AO1
akdasa	AW1 K T AW1 S AW1
akderakv	AW1 K T AH1 R AW1 K AO1
akdukan	AW1 K T UW1 K AW1 N
akdulabufi	AW1 K T UW1 L AW1 P UW1 F IY1
akdulabuha	AW1 K T UW1 L AW1 P UW1 HH AW1
akdulabumbi	AW1 K T UW1 L AW1 P UW1 M P IY1
akdulabure	AW1 K T UW1 L AW1 P UW1 R AH1
akdulafi	AW1 K T UW1 L AW1 F IY1
akdulaha	AW1 K T UW1 L AW1 HH AW1
akdulahabi	AW1 K T UW1 L AW1 HH AW1 P IY1
akdulahangge	AW1 K T UW1 L AW1 HH AW1 NG NG AH1
akdulambi	AW1 K T UW1 L AW1 M P IY1
akdulame	AW1 K T UW1 L AW1 M AH1
akdulamen	AW1 K T UW1 L AW1 M AH1 N
akdulandumbi	AW1 K T UW1 L AW1 N T UW1 M P IY1
akdulanumbi	AW1 K T UW1 L AW1 N UW1 M P IY1
akdulara	AW1 K T UW1 L AW1 R AW1
akdularakv	AW1 K T UW1 L AW1 R AW1 K AO1
akdularangge	AW1 K T UW1 L AW1 R AW1 NG NG AH1
akdulembi	AW1 K T UW1 L AH1 M P IY1
akduleme	AW1 K T UW1 L AH1 M AH1
akdulmen	AW1 K T UW1 L M AH1 N
akdun	AW1 K T UW1 N
akdungga	AW1 K T UW1 NG N AW1
akdunka	AW1 K T UW1 N K AW1
ake	AW1 K AH1
akhangga	AW1 K HH AW1 NG N AW1
aki	AW1 K IY1
akide	AW1 K IY1 T AH1
akihabi	AW1 K IY1 HH AW1 P IY1
akim	AW1 K IY1 M
akiran	AW1 K IY1 R AW1 N
akiu	AW1 K IY1 W
akiya	AW1 K JH AW1
akiyade	AW1 K JH AW1 T AH1
akiyaha	AW1 K JH AW1 HH AW1
akiyahabi	AW1 K JH AW1 HH AW1 P IY1
akiyambi	AW1 K JH AW1 M P IY1
akiyame	AW1 K JH AW1 M AH1
akiyan	AW1 K JH AW1 N
akjaba	AW1 K JH AW1 P AW1
akjadanra	AW1 K JH AW1 T AW1 N R AW1
akjakangge	AW1 K JH AW1 K AW1 NG NG AH1
akjambi	AW1 K JH AW1 M P IY1
akjambulu	AW1 K JH AW1 M P UW1 L UW1
akjame	AW1 K JH AW1 M AH1
akjan	AW1 K JH AW1 N
akjandame	AW1 K JH AW1 N T AW1 M AH1
akjandara	AW1 K JH AW1 N T AW1 R AW1
akjangga	AW1 K JH AW1 NG N AW1
akjara	AW1 K JH AW1 R AW1
akjuhiyan	AW1 K JH UW1 HH JH AW1 N
akka	AW1 K K AW1
akongge	AW1 K OW1 NG NG AH1
akqafi	AW1 K CH AW1 F IY1
akqan	AW1 K CH AW1 N
akquhiyan	AW1 K CH UW1 HH JH AW1 N
akquka	AW1 K CH UW1 K AW1
aksabumbi	AW1 K S AW1 P UW1 M P IY1
aksafi	AW1 K S AW1 F IY1
aksaka	AW1 K S AW1 K AW1
aksakabi	AW1 K S AW1 K AW1 P IY1
aksambi	AW1 K S AW1 M P IY1
aksambuha	AW1 K S AW1 M P UW1 HH AW1
aksambure	AW1 K S AW1 M P UW1 R AH1
aksaqi	AW1 K S AW1 K IY1
aksara	AW1 K S AW1 R AW1
aksaraha	AW1 K S AW1 R AW1 HH AW1
aksarakv	AW1 K S AW1 R AW1 K AO1
aksargan	AW1 K S AW1 R K AW1 N
aksarhan	AW1 K S AW1 R HH AW1 N
aksi	AW1 K S IY1
aksihakv	AW1 K S IY1 HH AW1 K AO1
aksu	AW1 K S UW1
aksun	AW1 K S UW1 N
akta	AW1 K T AW1
aktafi	AW1 K T AW1 F IY1
aktaha	AW1 K T AW1 HH AW1
aktai	AW1 K T AW1 JH
aktalabumbi	AW1 K T AW1 L AW1 P UW1 M P IY1
aktalaha	AW1 K T AW1 L AW1 HH AW1
aktalahan	AW1 K T AW1 L AW1 HH AW1 N
aktalakv	AW1 K T AW1 L AW1 K AO1
aktalambi	AW1 K T AW1 L AW1 M P IY1
aktalame	AW1 K T AW1 L AW1 M AH1
aktalara	AW1 K T AW1 L AW1 R AW1
aktalarakv	AW1 K T AW1 L AW1 R AW1 K AO1
aktaliyan	AW1 K T AW1 L JH AW1 N
aktambi	AW1 K T AW1 M P IY1
aktame	AW1 K T AW1 M AH1
aktarakv	AW1 K T AW1 R AW1 K AO1
aktoi	AW1 K T OW1 JH
aktulara	AW1 K T UW1 L AW1 R AW1
aktun	AW1 K T UW1 N
aku	AW1 K UW1
akumbu	AW1 K UW1 M P UW1
akv	AW1 K AO1
akv'	AW1 K AO1
akvbi	AW1 K AO1 P IY1
akvbihe	AW1 K AO1 P IY1 HH AH1
akvburakv	AW1 K AO1 P UW1 R AW1 K AO1
akvde	AW1 K AO1 T AH1
akvdu	AW1 K AO1 T UW1
akvfi	AW1 K AO1 F IY1
akvha	AW1 K AO1 HH AW1
akvhabi	AW1 K AO1 HH AW1 P IY1
akvhajui	AW1 K AO1 HH AW1 JH UW1 JH
akvhangge	AW1 K AO1 HH AW1 NG NG AH1
akvi	AW1 K AO1 JH
akvkai	AW1 K AO1 K AW1 JH
akvku	AW1 K AO1 K UW1
akvli	AW1 K AO1 L IY1
akvmabume	AW1 K AO1 M AW1 P UW1 M AH1
akvmbi	AW1 K AO1 M P IY1
akvmbu	AW1 K AO1 M P UW1
akvmbubqi	AW1 K AO1 M P UW1 P K IY1
akvmbubume	AW1 K AO1 M P UW1 P UW1 M AH1
akvmbufi	AW1 K AO1 M P UW1 F IY1
akvmbuha	AW1 K AO1 M P UW1 HH AW1
akvmbuhabi	AW1 K AO1 M P UW1 HH AW1 P IY1
akvmbuhakv	AW1 K AO1 M P UW1 HH AW1 K AO1
akvmbuhakvbi	AW1 K AO1 M P UW1 HH AW1 K AO1 P IY1
akvmbuhangge	AW1 K AO1 M P UW1 HH AW1 NG NG AH1
akvmbuki	AW1 K AO1 M P UW1 K IY1
akvmbukini	AW1 K AO1 M P UW1 K IY1 N IY1
akvmbumbi	AW1 K AO1 M P UW1 M P IY1
akvmbumbikai	AW1 K AO1 M P UW1 M P IY1 K AW1 JH
akvmbumbini	AW1 K AO1 M P UW1 M P IY1 N IY1
akvmbume	AW1 K AO1 M P UW1 M AH1
akvmbuqi	AW1 K AO1 M P UW1 K IY1
akvmburakv	AW1 K AO1 M P UW1 R AW1 K AO1
akvmburakvngge	AW1 K AO1 M P UW1 R AW1 K AO1 NG NG AH1
akvmbure	AW1 K AO1 M P UW1 R AH1
akvmburengge	AW1 K AO1 M P UW1 R AH1 NG NG AH1
akvmi	AW1 K AO1 M IY1
akvn	AW1 K AO1 N
akvnafi	AW1 K AO1 N AW1 F IY1
akvnaha	AW1 K AO1 N AW1 HH AW1
akvnahabi	AW1 K AO1 N AW1 HH AW1 P IY1
akvnahakvbi	AW1 K AO1 N AW1 HH AW1 K AO1 P IY1
akvnahangge	AW1 K AO1 N AW1 HH AW1 NG NG AH1
akvnambi	AW1 K AO1 N AW1 M P IY1
akvnambiu	AW1 K AO1 N AW1 M P IY1 W
akvname	AW1 K AO1 N AW1 M AH1
akvnangga	AW1 K AO1 N AW1 NG N AW1
akvnaqi	AW1 K AO1 N AW1 K IY1
akvnara	AW1 K AO1 N AW1 R AW1
akvnarakv	AW1 K AO1 N AW1 R AW1 K AO1
akvnarangge	AW1 K AO1 N AW1 R AW1 NG NG AH1
akvngga	AW1 K AO1 NG N AW1
akvngge	AW1 K AO1 NG NG AH1
akvni	AW1 K AO1 N IY1
akvnjihangge	AW1 K AO1 N JH IY1 HH AW1 NG NG AH1
akvnjimbi	AW1 K AO1 N JH IY1 M P IY1
akvnjire	AW1 K AO1 N JH IY1 R AH1
akvqi	AW1 K AO1 K IY1
akvra	AW1 K AO1 R AW1
akvre	AW1 K AO1 R AH1
akvrlahabi	AW1 K AO1 R L AW1 HH AW1 P IY1
akvta	AW1 K AO1 T AW1
akvtala	AW1 K AO1 T AW1 L AW1
akvtun	AW1 K AO1 T UW1 N
akxaka	AW1 K SH AW1 K AW1
akxakabi	AW1 K SH AW1 K AW1 P IY1
akxame	AW1 K SH AW1 M AH1
akxan	AW1 K SH AW1 N
akxantaha	AW1 K SH AW1 N T AW1 HH AW1
akxula	AW1 K SH UW1 L AW1
akxulabumbi	AW1 K SH UW1 L AW1 P UW1 M P IY1
akxulambi	AW1 K SH UW1 L AW1 M P IY1
akxulame	AW1 K SH UW1 L AW1 M AH1
akxulara	AW1 K SH UW1 L AW1 R AW1
akxun	AW1 K SH UW1 N
ala	AW1 L AW1
alabatu	AW1 L AW1 P AW1 T UW1
alabu	AW1 L AW1 P UW1
alabufi	AW1 L AW1 P UW1 F IY1
alabuha	AW1 L AW1 P UW1 HH AW1
alabumbi	AW1 L AW1 P UW1 M P IY1
alabume	AW1 L AW1 P UW1 M AH1
alaburakv	AW1 L AW1 P UW1 R AW1 K AO1
alabure	AW1 L AW1 P UW1 R AH1
alafi	AW1 L AW1 F IY1
alaha	AW1 L AW1 HH AW1
alahabi	AW1 L AW1 HH AW1 P IY1
alahade	AW1 L AW1 HH AW1 T AH1
alahai	AW1 L AW1 HH AW1 JH
alahakv	AW1 L AW1 HH AW1 K AO1
alahakvbi	AW1 L AW1 HH AW1 K AO1 P IY1
alahakvngge	AW1 L AW1 HH AW1 K AO1 NG NG AH1
alahakvqi	AW1 L AW1 HH AW1 K AO1 K IY1
alahan	AW1 L AW1 HH AW1 N
alahangga	AW1 L AW1 HH AW1 NG N AW1
alahangge	AW1 L AW1 HH AW1 NG NG AH1
alahani	AW1 L AW1 HH AW1 N IY1
alahaqan	AW1 L AW1 HH AW1 CH AW1 N
alahata	AW1 L AW1 HH AW1 T AW1
alahau	AW1 L AW1 HH AW1 W
alahvdahabi	AW1 L AW1 HH AO1 T AW1 HH AW1 P IY1
alahvdame	AW1 L AW1 HH AO1 T AW1 M AH1
alahvdara	AW1 L AW1 HH AO1 T AW1 R AW1
alahvwa	AW1 L AW1 HH AO1 AW1
alai	AW1 L AW1 JH
alajaha	AW1 L AW1 JH AW1 HH AW1
alajan	AW1 L AW1 JH AW1 N
alajiha	AW1 L AW1 JH IY1 HH AW1
alajiki	AW1 L AW1 JH IY1 K IY1
alajime	AW1 L AW1 JH IY1 M AH1
alajin	AW1 L AW1 JH IY1 N
alajina	AW1 L AW1 JH IY1 N AW1
alajire	AW1 L AW1 JH IY1 R AH1
alak	AW1 L AW1 K
alakaha	AW1 L AW1 K AW1 HH AW1
alakdaha	AW1 L AW1 K T AW1 HH AW1
alakdahan	AW1 L AW1 K T AW1 HH AW1 N
alaki	AW1 L AW1 K IY1
alakini	AW1 L AW1 K IY1 N IY1
alakqot	AW1 L AW1 K CH OW1 T
alalambi	AW1 L AW1 L AW1 M P IY1
alama	AW1 L AW1 M AW1
alambi	AW1 L AW1 M P IY1
alambihe	AW1 L AW1 M P IY1 HH AH1
alambihede	AW1 L AW1 M P IY1 HH AH1 T AH1
alambime	AW1 L AW1 M P IY1 M AH1
alambiu	AW1 L AW1 M P IY1 W
alame	AW1 L AW1 M AH1
alamifi	AW1 L AW1 M IY1 F IY1
alamihabi	AW1 L AW1 M IY1 HH AW1 P IY1
alamimbi	AW1 L AW1 M IY1 M P IY1
alamime	AW1 L AW1 M IY1 M AH1
alamu	AW1 L AW1 M UW1
alan	AW1 L AW1 N
alana	AW1 L AW1 N AW1
alanabu	AW1 L AW1 N AW1 P UW1
alanabufi	AW1 L AW1 N AW1 P UW1 F IY1
alanabuha	AW1 L AW1 N AW1 P UW1 HH AW1
alanabuki	AW1 L AW1 N AW1 P UW1 K IY1
alanabumbi	AW1 L AW1 N AW1 P UW1 M P IY1
alanabume	AW1 L AW1 N AW1 P UW1 M AH1
alanabuqi	AW1 L AW1 N AW1 P UW1 K IY1
alanabura	AW1 L AW1 N AW1 P UW1 R AW1
alanaburakv	AW1 L AW1 N AW1 P UW1 R AW1 K AO1
alanafi	AW1 L AW1 N AW1 F IY1
alanaha	AW1 L AW1 N AW1 HH AW1
alanahabi	AW1 L AW1 N AW1 HH AW1 P IY1
alanahakv	AW1 L AW1 N AW1 HH AW1 K AO1
alanahama	AW1 L AW1 N AW1 HH AW1 M AW1
alanaki	AW1 L AW1 N AW1 K IY1
alanakini	AW1 L AW1 N AW1 K IY1 N IY1
alanambi	AW1 L AW1 N AW1 M P IY1
alanambihe	AW1 L AW1 N AW1 M P IY1 HH AH1
alaname	AW1 L AW1 N AW1 M AH1
alanaqi	AW1 L AW1 N AW1 K IY1
alanara	AW1 L AW1 N AW1 R AW1
alanarakv	AW1 L AW1 N AW1 R AW1 K AO1
alandumbi	AW1 L AW1 N T UW1 M P IY1
alandume	AW1 L AW1 N T UW1 M AH1
alandure	AW1 L AW1 N T UW1 R AH1
alanggi	AW1 L AW1 NG NG IY1
alanggibuha	AW1 L AW1 NG NG IY1 P UW1 HH AW1
alanggibumbi	AW1 L AW1 NG NG IY1 P UW1 M P IY1
alanggibume	AW1 L AW1 NG NG IY1 P UW1 M AH1
alanggibure	AW1 L AW1 NG NG IY1 P UW1 R AH1
alanggifi	AW1 L AW1 NG NG IY1 F IY1
alanggiha	AW1 L AW1 NG NG IY1 HH AW1
alanggimbi	AW1 L AW1 NG NG IY1 M P IY1
alanggime	AW1 L AW1 NG NG IY1 M AH1
alanggire	AW1 L AW1 NG NG IY1 R AH1
alanggv	AW1 L AW1 NG N AO1
